link,titulo,precio,tipo_venta,num_banos,superficie,ubicacion,metros_cuadrados,precio_metro_cuadrado,fecha_hora_de_carga
https://www.portalinmobiliario.com/MLC-2109863384-plan-de-renaca-departamento-a-3-cuadras-de-la-pla-_JM#position=30&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Plan De Reñaca, Departamento A 3 Cuadras De La Pla...",3600.0,Departamento en venta,1 baño,43 m² útiles,"Reñaca, Reñaca, Viña Del Mar",43,83.72093023255815,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2243366230-vida-resort-vista-al-mar-frente-a-central-park-renaca-_JM#position=31&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Vida Resort Vista Al Mar Frente A Central Park Reñaca,3500.0,Departamento en venta,1 baño,45 m² útiles,"Edmundo Eluchans 2145, Reñaca, Viñ...",45,77.77777777777777,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2134975262-departamento-en-venta-de-1-dorm-en-concon-_JM#position=32&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Departamento En Venta De 1 Dorm. En Concón,3700.0,Departamento en venta,1 baño,32 m² útiles,"Costa Montemar 186, Reñaca, Viña D...",32,115.625,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2242587718-dpto-playa-cochoa-con-vista-al-mar-bodega-y-estacionamiento-_JM#position=33&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,,3265.0,Departamento en venta,1 baño,34 m² útiles,Dpto Playa Cochoa Con Vista Al Mar...,34,96.02941176470588,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2041727350-oportunidad-departamento-en-renaca-excelente-ubicacion-_JM#position=34&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Oportunidad! Departamento En Reñaca Excelente Ubicación,3700.0,Departamento en venta,1 baño,55 m² útiles,"A Pasos De La Playa Reñaca, Reñaca...",55,67.27272727272727,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2197471108-departamento-en-venta-en-vina-del-mar-_JM#position=35&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Departamento En Venta En Viña Del Mar,3450.0,Departamento en venta,1 baño,40 m² útiles,(kuc11821) Venta Reñaca | Inversió...,40,86.25,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1454447975-hermoso-y-moderno-depto-semi-nuevo-en-costas-de-montemar-_JM#position=36&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Hermoso Y Moderno Depto Semi Nuevo En Costas De Montemar,3400.0,Departamento en venta,1 baño,48 m² útiles,"Av Edmundo Eluchans 2010, Viña Del...",48,70.83333333333333,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2032867184-disponible-como-inversion-recien-arrendado-roi-42-_JM#position=37&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Disponible Como Inversión!!! (recién Arrendado) Roi 4,2%",3770.0,Departamento en venta,1 baño,42 m² útiles,"Las Golondrinas 1731, Viña Del Mar...",42,89.76190476190476,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1426568649-venta-departamento-1d-1b-con-estacionamiento-renaca-_JM#position=38&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Venta Departamento 1d-1b Con Estacionamiento - Reñaca,2600.0,Departamento en venta,1 baño,30 m² útiles,Avenida José Manuel Balmaceda 600 ...,30,86.66666666666667,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2129911240-departamento-nuevo-renaca-1d1b1e1b-_JM#position=40&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Departamento Nuevo Reñaca 1d1b1e1b,3880.0,Departamento en venta,1 baño,35 m² útiles,"Los Mirlos 1 - 300, Viña Del Mar, ...",35,110.85714285714286,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1455838125-precioso-depto-1-ambiente-gran-vista-18479-_JM#position=42&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Precioso Depto 1 Ambiente, Gran Vista (18479)",3300.0,Departamento en venta,1 baño,31 m² útiles,"Precioso Depto 1 Ambiente, Gran Vi...",31,106.4516129032258,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2197272568-rebajadoespectacular-vista-en-renaca-1d-1b-1e-1b-_JM#position=43&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Rebajado¡¡espectacular Vista En Reñaca 1d-1b-1e-1b,3000.0,Departamento en venta,1 baño,38 m² útiles,"El Encanto 600 - 900, Valparaíso, ...",38,78.94736842105263,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2015006556-para-inversion-cercano-a-todo-colegio-superm-playa-_JM#position=44&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Para Inversión!! Cercano A Todo (colegio Superm, Playa)",3600.0,Departamento en venta,1 baño,60 m² útiles,Avenida José Manuel Balmaceda 600 ...,60,60.0,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1454484057-moderno-soleado-y-con-excelente-ubicacion-dpto-en-renaca-_JM#position=47&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Moderno , Soleado Y Con Excelente Ubicación Dpto. En Reñaca",3890.0,Departamento en venta,1 baño,12 m² útiles,"Los Mirlos, Viña Del Mar, Chile, R...",12,324.1666666666667,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2157472316-renaca-pasos-edmundo-eluchans-1-d-1b-1-estac-1-b-vista-_JM#position=1&search_layout=grid&type=item&tracking_id=8e293031-4865-41cd-8b30-d20da12d17e9,"Reñaca, Pasos Edmundo Eluchans, 1 D 1b 1 Estac., 1 B, Vista",4000.0,Departamento en venta,1 baño,45 m² útiles,"Las Golondrinas, Viña Del Mar, Chi...",45,88.88888888888889,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2237277522-venta-departamento-amoblado-plan-de-renaca-buena-ubicacion-_JM#position=2&search_layout=grid&type=item&tracking_id=8e293031-4865-41cd-8b30-d20da12d17e9,"Venta Departamento Amoblado, Plan De Reñaca, Buena Ubicación",3000.0,Departamento en venta,1 baño,33 m² útiles,"Plan De Reñaca, Reñaca, Viña Del M...",33,90.9090909090909,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2054229948-hermoso-depto-a-pasos-de-las-playas-de-renaca-c231020-_JM#position=4&search_layout=grid&type=item&tracking_id=8e293031-4865-41cd-8b30-d20da12d17e9,Hermoso Depto. A Pasos De Las Playas De Reñaca (c231020),2859.0,Departamento en venta,1 baño,40 m² útiles,"Vicuña Mackenna 1 - 300, Viña Del ...",40,71.475,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2162658764-gran-vista-venta-depto-renaca-vina-del-mar-_JM#position=5&search_layout=grid&type=item&tracking_id=8e293031-4865-41cd-8b30-d20da12d17e9,"Gran Vista Venta Depto. Reñaca , Viña Del Mar",3800.0,Departamento en venta,1 baño,40 m² útiles,"Reñaca, Viña Del Mar",40,95.0,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2161586940-departamento-renovado-se-vende-en-renaca-_JM#position=6&search_layout=grid&type=item&tracking_id=8e293031-4865-41cd-8b30-d20da12d17e9,Departamento Renovado Se Vende En Reñaca,3450.0,Departamento en venta,1 baño,45 m² útiles,"Reñaca, Viña Del Mar",45,76.66666666666667,2024-02-03 12:26:32.470495
